id,name,address,lat,lon
235,SJ04 - Metro Rodrigo de Araya,Vicuña Mackenna 2935,-33.47828,-70.62224
237,P31 - Estación Canal 13,Alcalde Dávalos 124,-33.42833,-70.62731
238,N14 - Plaza Augusto D'Halmar,Hamburgo 1875,-33.43777,-70.57802
267,V39 - Pedro Canisio,Kennedy Lateral 5336,-33.40023,-70.5779
269,P36 - Carlos Antúnez / Barros Errázuriz,Carlos Antúnez 1831,-33.4274,-70.61389
281,P46 - Román Díaz,Roman Diaz 357,-33.43368,-70.62082
282,P34 - Punta Arenas,Punta Arenas 19,-33.43271,-70.63012
285,S08 - Marcoleta / San Isidro,Marcoleta 564,-33.44378,-70.64443
286,N02 - Jose Pedro Alessandri / Irarrazabal,José Pedro Alessandri 1,-33.455,-70.59832
287,S13 - Universidad Católica,Carabineros de Chile 288,-33.44066,-70.63956
288,S044 - Plaza Manuel Rodríguez,Abdon Cifuentes 259,-33.45153,-70.66563
290,P39 - Seminario,8 Seminario,-33.43668,-70.63078
291,P38 - Québec,Quebec 575,-33.43613,-70.62588
292,P48 - Parque de las Esculturas Poniente,Av Santa Maria / Pedro de Valdivia Nte,-33.42088,-70.61499
293,P43 - Los Españoles,Mons Carlos Casanueva / Sta Maria,-33.42124,-70.61692
294,P47 - Ibis Providencia,Av Providencia 1275,-33.42942,-70.62126
295,P50 - Las Esculturas Oriente,Padre Letelier / Av Santa María,-33.41924,-70.61181
296,P56 - Ambasciata,Clemente Fabres 1099,-33.44172,-70.618
297,S24 - Parque de los Reyes,Pdte Balmaceda 2200,-33.42922,-70.66931
298,P59 - Los Estanques,Los Estanques 1995,-33.43514,-70.60871
299,P42 - Lota / Tobalaba,Lota 2864,-33.42164,-70.59732
300,S32 - Gorbea,Gorbea 1727,-33.45174,-70.65962
301,S37 - FAU,Marcoleta 260,-33.44162,-70.63841
302,S40 - Erasmo Escala,Erasmo Escala 2402,-33.44523,-70.66804
303,S41 - Fanor Velasco,Fanor Velasco 8,-33.44539,-70.65931
304,S42 - Av. Brasil,Av Brasil 799,-33.4349,-70.66492
305,S43 - Blas Cañas,Blas Cañas 476,-33.44508,-70.64251
307,S45 - Cueto,Cueto 1098,-33.43255,-70.67319
308,S47 - Marín / Carmen,Marín 499,-33.44746,-70.64206
309,S48 - Angamos,Angamos 299,-33.44663,-70.63861
310,S50 - Gral. Jofré,Gral. Jofré 306,-33.44523,-70.63678
311,S52 - Argomedo,Argomedo 11,-33.44889,-70.6322
312,S54 - Plaza Ercilla,Ejército Libertador esquina Blanco Encalda,-33.45676,-70.65988
313,P40 - Bustamante,Gral Bustamante 302,-33.44518,-70.63106
314,P58 - Unidad Vecinal Providencia,Antonio Varas 169,-33.42911,-70.61696
317,N15 - Dublé Almeyda,Fernández Concha 72,-33.4538,-70.62174
318,P07 - Eduardo de La Barra,Eduardo de La Barra 1482,-33.44532,-70.61199
319,P35 - José Manuel Cousiño,José Manuel Cousiño 2099,-33.43521,-70.59106
320,P57 - Galvarino Gallardo,Galvarino Gallardo 2187,-33.42877,-70.60726
321,P60 - Suecia / Carmen Sylva,Suecia 513,-33.4255,-70.6063
322,P54 - Seminario / Rancagua,Seminario 93,-33.44074,-70.63002
323,S33 - Zenteno,Zenteno 772,-33.45521,-70.65106
324,S31- Raulí,Rauli 600,-33.44971,-70.63618
325,S38 - Vicaría,Erasmo Escala 1822,-33.44432,-70.66204
326,S35 - José Miguel Carrera,Almirante Hurtado 2022,-33.45429,-70.66289
327,P33 - Isidorita,Isidorita 143,-33.42215,-70.6074
328,S22 - Coquimbo/Carmen,499 Coquimbo,-33.45498,-70.63989
