id,system,brand,name,address.str,address.lat,address.lon
327,11,bike_itau,P33 - Isidorita,Isidorita 143,"-33,42215","-70,60740"
328,11,bike_itau,S22 - Coquimbo/Carmen,499 Coquimbo,"-33,45498","-70,63989"
329,11,bike_itau,LC001 - Barrio El Golf,Avenida El Golf 180,"-33,41380","-70,59254"
330,11,bike_itau,LC002 - Hendaya,Hendaya 27,"-33,41634","-70,59273"
331,11,bike_itau,LC003 - Ómnium,5000 Avenida Apoquindo,"-33,41150","-70,57697"
332,11,bike_itau,LC004 - Plaza Valenzuela Llanos,84 Las Tranqueras,"-33,40081","-70,55517"
333,11,bike_itau,LC005 - Corporación Cultural De Las Condes,Apoquindo 6510,"-33,40705","-70,56152"
334,11,bike_itau,LC006 - Parque Titanium,2730 Avenida Costanera Sur,"-33,41364","-70,60578"
335,11,bike_itau,LC007 - Centro Cívico De Las Condes,3320 Reyes Lavalle,"-33,41554","-70,59569"
336,11,bike_itau,LC008 - San Crescente,78 San Crescente,"-33,41728","-70,59541"
337,11,bike_itau,LC009 - Municipalidad De Las Condes,5000 Avenida Presidente Riesco,"-33,40549","-70,57917"
338,11,bike_itau,LC010 - Metro Manquehue - Norte,Av. Apoquindo 6140,"-33,40852","-70,56696"
339,11,bike_itau,LC011 - Metro Hernando De Magallanes,Pehuen 7100,"-33,40833","-70,55652"
340,11,bike_itau,LC012 - Metro Los Dominicos,Apoquindo 8379,"-33,40797","-70,54575"
341,11,bike_itau,LC013 - Rotonda Atenas,7550 Avenida Cristóbal Colón,"-33,41797","-70,55255"
342,11,bike_itau,LC014 - Parque Araucano,Av Presidente Riesco 5689,"-33,40373","-70,57343"
343,11,bike_itau,LC015 - Isidora Goyenechea / El Bosque Norte,Isidora Goyenechea 2887,"-33,41403","-70,60233"
344,11,bike_itau,LC016 - Plaza Juan Pablo II,Isabel La Católica 4300,"-33,42734","-70,57879"
345,11,bike_itau,LC017 - Sánchez Fontecilla / Cristóbal Colón,Mariano Sánchez Fontecilla 1070,"-33,42618","-70,59060"
346,11,bike_itau,LC018 - Fiscalía Local De Las Condes,Los Militares 5620,"-33,40663","-70,57264"
347,11,bike_itau,LC019 - Metro Alcántara,Alcántara 79,"-33,41582","-70,58956"
348,11,bike_itau,LC020 - Manquehue Sur / Cristóbal Colón,Av Manquehue Sur 1022,"-33,41695","-70,56465"
349,11,bike_itau,LC021 - Parque Juan Pablo II,Av Presidente Riesco 6161,"-33,40189","-70,56911"
350,11,bike_itau,LC022 - Tobalaba / Apoquindo,Av. Tobalaba 32,"-33,41827","-70,60119"
351,11,bike_itau,LC023 - Plaza Don Raúl Simón Bernal,Av. Cristóbal Colón 4275,"-33,42358","-70,58067"
352,11,bike_itau,LC024 - Américo Vespucio / Pdte Kennedy,Cerro La Parva 23100,"-33,40595","-70,58616"
353,11,bike_itau,LC025 - Noruega,Noruega 6749,"-33,40302","-70,56261"
